d,y,q_model,q_base,loss_m,loss_b,w
2025-01-29,1.9114294052124023,1.9417240619659424,1.7842761278152466,0.003029465675354003,0.11443794965744018,2025-W05
2025-01-30,1.9114294052124023,1.92811918258667,1.7842761278152466,0.0016689777374267573,0.11443794965744018,2025-W05
2025-01-31,1.9114294052124023,1.9021117687225342,1.7842761278152466,0.008385872840881348,0.11443794965744018,2025-W05
2025-02-03,0.9292652010917664,2.378376007080078,1.7886303663253784,0.14491108059883115,0.08593651652336119,2025-W06
2025-02-04,0.9292652010917664,2.2643394470214844,1.789114236831665,0.13350742459297177,0.08598490357398984,2025-W06
2025-02-05,0.9292652010917664,2.1904401779174805,1.789114236831665,0.12611749768257138,0.08598490357398984,2025-W06
2025-02-06,0.98196941614151,2.1289303302764893,1.789114236831665,0.1146960914134979,0.08071448206901549,2025-W06
2025-02-07,0.98196941614151,2.156968593597412,1.789114236831665,0.11749991774559018,0.08071448206901549,2025-W06
2025-02-10,0.98196941614151,1.763318419456482,1.789114236831665,0.07813490033149717,0.08071448206901549,2025-W07
2025-02-11,1.1555259227752686,1.7327978610992432,1.789114236831665,0.057727193832397446,0.06335883140563964,2025-W07
2025-02-12,1.1555259227752686,1.728426218032837,1.789114236831665,0.057290029525756826,0.06335883140563964,2025-W07
2025-02-13,1.1555259227752686,1.8074921369552612,1.789114236831665,0.06519662141799926,0.06335883140563964,2025-W07
2025-02-14,1.1555259227752686,1.7346729040145874,1.789114236831665,0.05791469812393187,0.06335883140563964,2025-W07
2025-02-17,1.1555259227752686,1.702715516090393,1.789114236831665,0.05471895933151244,0.06335883140563964,2025-W08
2025-02-18,0.8102502226829529,1.8437063694000244,1.789114236831665,0.10334561467170714,0.09788640141487119,2025-W08
2025-02-19,0.8102502226829529,1.8133964538574219,1.789114236831665,0.10031462311744688,0.09788640141487119,2025-W08
2025-02-20,0.8102502226829529,1.78996741771698,1.789114236831665,0.0979717195034027,0.09788640141487119,2025-W08
2025-02-21,0.8102502226829529,1.7712770700454712,1.789114236831665,0.0961026847362518,0.09788640141487119,2025-W08
2025-02-24,0.5315182209014893,1.7743051052093506,1.789114236831665,0.1242786884307861,0.12575960159301755,2025-W09
2025-02-25,1.2998312711715698,1.819117784500122,1.789114236831665,0.051928651332855215,0.04892829656600951,2025-W09
2025-02-26,1.2998312711715698,1.753994345664978,1.789114236831665,0.04541630744934081,0.04892829656600951,2025-W09
2025-02-27,1.2998312711715698,1.6617017984390259,1.789114236831665,0.0361870527267456,0.04892829656600951,2025-W09
2025-02-28,1.2998312711715698,1.58943772315979,1.789114236831665,0.028960645198822015,0.04892829656600951,2025-W09
2025-03-03,1.313713788986206,1.5271780490875244,1.789114236831665,0.02134642601013183,0.04754004478454589,2025-W10
2025-03-04,1.313713788986206,2.0107548236846924,1.789114236831665,0.06970410346984862,0.04754004478454589,2025-W10
2025-03-05,1.313713788986206,1.8069955110549927,1.789114236831665,0.04932817220687865,0.04754004478454589,2025-W10
2025-03-06,1.313713788986206,1.7771639823913574,1.789114236831665,0.046345019340515124,0.04754004478454589,2025-W10
2025-03-07,1.313713788986206,1.7350552082061768,1.789114236831665,0.04213414192199706,0.04754004478454589,2025-W10
2025-03-10,1.1515326499938965,1.6695507764816284,1.789114236831665,0.051801812648773184,0.06375815868377684,2025-W11
2025-03-11,1.2022476196289062,1.6110889911651611,1.789114236831665,0.04088413715362548,0.05868666172027587,2025-W11
2025-03-12,1.2022476196289062,1.5705866813659668,1.789114236831665,0.03683390617370605,0.05868666172027587,2025-W11
2025-03-13,1.2022476196289062,1.574157476425171,1.789114236831665,0.037190985679626455,0.05868666172027587,2025-W11
2025-03-14,1.2022476196289062,1.6030031442642212,1.789114236831665,0.040075552463531484,0.05868666172027587,2025-W11
2025-03-17,1.2022476196289062,1.577258825302124,1.789114236831665,0.03750112056732177,0.05868666172027587,2025-W12
2025-03-18,1.0466632843017578,1.6375653743743896,1.789114236831665,0.059090209007263174,0.07424509525299071,2025-W12
2025-03-19,1.0466632843017578,1.6275205612182617,1.789114236831665,0.05808572769165038,0.07424509525299071,2025-W12
2025-03-20,1.0466632843017578,1.6275428533554077,1.7886303663253784,0.05808795690536498,0.07419670820236204,2025-W12
2025-03-21,0.9552592635154724,1.6634693145751953,1.7842761278152466,0.07082100510597228,0.0829016864299774,2025-W12
2025-03-25,0.8904518485069275,1.6532094478607178,1.7842761278152466,0.07627575993537901,0.08938242793083188,2025-W13
2025-03-26,0.8904518485069275,1.6586790084838867,1.7842761278152466,0.07682271599769591,0.08938242793083188,2025-W13
2025-03-27,0.915455162525177,1.6831293106079102,1.7842761278152466,0.0767674148082733,0.08688209652900694,2025-W13
2025-03-28,1.270948052406311,1.7240463495254517,1.7842761278152466,0.04530982971191405,0.051332807540893546,2025-W13
2025-03-31,2.279571771621704,1.7531170845031738,1.7842761278152466,0.4738092184066773,0.44576607942581176,2025-W14
2025-04-01,2.279571771621704,1.7723767757415771,1.7842761278152466,0.45647549629211426,0.44576607942581176,2025-W14
2025-04-02,2.688476800918579,1.7422869205474854,1.7842761278152466,0.8515708923339844,0.8137806057929993,2025-W14
2025-04-03,2.688476800918579,1.6890645027160645,1.7842761278152466,0.8994710683822632,0.8137806057929993,2025-W14
2025-04-04,2.688476800918579,1.9207327365875244,1.7842761278152466,0.6909696578979493,0.8137806057929993,2025-W14
2025-04-07,2.688476800918579,3.147411346435547,1.7886303663253784,0.045893454551696765,0.8098617911338807,2025-W15
2025-04-08,2.688476800918579,2.770376205444336,1.789114236831665,0.008189940452575682,0.8094263076782227,2025-W15
2025-04-09,2.414228677749634,3.4077672958374023,1.789114236831665,0.09935386180877684,0.5626029968261719,2025-W15
2025-04-10,2.414228677749634,3.113302707672119,1.789114236831665,0.06990740299224851,0.5626029968261719,2025-W15
2025-04-11,1.984170913696289,2.83821439743042,1.789114236831665,0.08540434837341307,0.17555100917816163,2025-W15
2025-04-14,1.8587268590927124,2.748408555984497,1.8312132358551025,0.08896816968917845,0.024762260913848876,2025-W16
2025-04-15,1.6643714904785156,2.712667942047119,1.8358912467956543,0.10482964515686033,0.017151975631713865,2025-W16
2025-04-16,1.3087389469146729,2.4542269706726074,1.8358912467956543,0.11454880237579343,0.05271522998809813,2025-W16
2025-04-21,1.3087389469146729,2.622499465942383,1.8358912467956543,0.13137605190277096,0.05271522998809813,2025-W17
2025-04-22,1.3087389469146729,2.2813239097595215,1.8358912467956543,0.09725849628448484,0.05271522998809813,2025-W17
2025-04-23,1.2099874019622803,2.2531285285949707,1.856443166732788,0.10431411266326902,0.06464557647705077,2025-W17
2025-04-24,1.2099874019622803,2.1402294635772705,1.856443166732788,0.093024206161499,0.06464557647705077,2025-W17
2025-04-25,1.5326470136642456,1.9812119007110596,1.856443166732788,0.04485648870468139,0.032379615306854244,2025-W17
2025-04-28,1.5326470136642456,1.9845542907714844,1.856443166732788,0.04519072771072387,0.032379615306854244,2025-W18
2025-04-29,1.5326470136642456,2.026463031768799,1.856443166732788,0.04938160181045531,0.032379615306854244,2025-W18
2025-04-30,1.5326470136642456,1.916974425315857,1.856443166732788,0.03843274116516113,0.032379615306854244,2025-W18
2025-05-02,1.5326470136642456,1.9084094762802124,1.856443166732788,0.03757624626159667,0.032379615306854244,2025-W18
2025-05-05,0.9500805735588074,2.298940896987915,1.856443166732788,0.13488603234291074,0.09063625931739805,2025-W19
2025-05-06,0.9500805735588074,2.3136515617370605,1.856443166732788,0.1363570988178253,0.09063625931739805,2025-W19
2025-05-07,0.9500805735588074,2.373749256134033,1.856443166732788,0.14236686825752254,0.09063625931739805,2025-W19
2025-05-08,1.3382744789123535,2.3778905868530273,1.856443166732788,0.10396161079406736,0.051816868782043446,2025-W19
2025-05-09,1.3382744789123535,2.362215280532837,1.856443166732788,0.10239408016204832,0.051816868782043446,2025-W19
2025-05-12,1.3382744789123535,2.2447407245635986,1.856443166732788,0.0906466245651245,0.051816868782043446,2025-W20
2025-05-13,1.3382744789123535,2.2037389278411865,1.856443166732788,0.08654644489288328,0.051816868782043446,2025-W20
2025-05-14,1.3382744789123535,1.9810163974761963,1.856443166732788,0.06427419185638426,0.051816868782043446,2025-W20
2025-05-15,1.0004791021347046,2.270322799682617,1.856443166732788,0.12698436975479124,0.08559640645980833,2025-W20
2025-05-16,0.7617315053939819,2.0805296897888184,1.856443166732788,0.13187981843948363,0.1094711661338806,2025-W20
2025-05-19,0.7617315053939819,1.9793193340301514,1.856443166732788,0.12175878286361691,0.1094711661338806,2025-W21
2025-05-20,0.7888821363449097,1.8727929592132568,1.856443166732788,0.1083910822868347,0.10675610303878781,2025-W21
2025-05-21,0.7888821363449097,1.7994635105133057,1.856443166732788,0.10105813741683958,0.10675610303878781,2025-W21
2025-05-22,0.7888821363449097,1.6386905908584595,1.856443166732788,0.08498084545135497,0.10675610303878781,2025-W21
2025-05-23,0.9618552327156067,1.5230021476745605,1.856443166732788,0.056114691495895375,0.08945879340171813,2025-W21
2025-05-26,1.1045106649398804,1.4825972318649292,1.856443166732788,0.037808656692504876,0.07519325017929075,2025-W22
2025-05-27,1.1045106649398804,1.5160971879959106,1.856443166732788,0.04115865230560302,0.07519325017929075,2025-W22
2025-05-28,1.1045106649398804,1.5981171131134033,1.856443166732788,0.049360644817352285,0.07519325017929075,2025-W22
2025-05-29,1.1545597314834595,1.6134624481201172,1.856443166732788,0.045890271663665765,0.07018834352493285,2025-W22
2025-05-30,1.1545597314834595,1.7299659252166748,1.8358912467956543,0.05754061937332152,0.06813315153121947,2025-W22
2025-06-03,1.7243388891220093,1.7165073156356812,1.8358912467956543,0.007048416137695313,0.0111552357673645,2025-W23
