monday,side,leverage,unit_pnl,week_monday,c1,c2
2023-05-15,-1,1.301,-0.004281662908293364,2023-05-15,0.5238095238095238,-0.6947152611559076
2023-05-22,1,0.5,-0.016888818224377395,2023-05-22,0.19047619047619047,-0.4861088530722917
2023-05-29,1,0.5,-0.020484381562250065,2023-05-29,0.14285714285714285,-0.6415864728083308
2023-06-05,1,0.5,-0.030000419097821963,2023-06-05,0.3333333333333333,-0.753277681480287
2023-06-12,1,0.5,-0.005683832335329236,2023-06-12,0.5238095238095238,-1.1991871642810188
2024-01-01,1,0.5,0.0010888479319611664,2024-01-01,0.7619047619047619,-0.4412833347866231
2024-01-08,1,0.5,0.015000643583472771,2024-01-08,0.8571428571428571,-0.40195677808306485
2024-03-04,1,0.75,-0.009984381972333691,2024-03-04,1.0,-0.3099041360267972
2024-04-08,1,0.587,0.014052061736926897,2024-04-08,1.0,-0.9212809022156973
2024-04-15,1,0.5,0.015001133132803164,2024-04-15,1.0,-0.2799042197621783
2024-04-22,1,0.5,-0.0026835277400096094,2024-04-22,1.0,-0.7242697024095893
2024-04-29,1,0.566,0.00011756317103653311,2024-04-29,1.0,-0.8958602484716426
2024-05-27,-1,1.5,-0.00038252679626042923,2024-05-27,0.2857142857142857,-0.27648643712693843
2024-06-10,-1,1.5,-0.0186039356516169,2024-06-10,0.6190476190476191,-1.24138908574231
2024-06-24,1,0.514,0.015000831206422812,2024-06-24,0.5714285714285714,-0.7220627176410602
2024-07-01,-1,1.125,0.01500006014458746,2024-07-01,0.42857142857142855,-0.34642635990579945
2024-07-29,1,0.643,0.014998967114906064,2024-07-29,0.7142857142857143,-0.8255549871370516
2024-08-19,-1,1.5,0.00018615040953090097,2024-08-19,0.8095238095238095,-0.8276320550434804
2024-08-26,-1,1.5,-0.02333229832950389,2024-08-26,0.8095238095238095,-1.4551347026155428
2024-09-09,-1,1.5,0.011666140416267885,2024-09-09,0.8571428571428571,-0.9597243948478389
2024-09-16,-1,1.5,0.011667620637946597,2024-09-16,0.8571428571428571,-0.8177120358880662
2024-09-23,-1,1.5,-0.0030759174885134147,2024-09-23,0.8571428571428571,-0.9807615682984672
2024-09-30,-1,1.5,0.004323784875586653,2024-09-30,0.8571428571428571,-0.926659702022213
2024-10-28,-1,1.5,-0.019241132497823756,2024-10-28,0.6666666666666666,-0.40519972099543444
2024-11-04,-1,1.5,0.01166602936418339,2024-11-04,0.7619047619047619,-0.5560667853313331
2024-11-18,-1,0.6,-0.003689491990576504,2024-11-18,0.6190476190476191,-0.6225172912445737
2024-11-25,1,0.5,0.008237720327685721,2024-11-25,0.6190476190476191,-0.37326264846056834
2024-12-02,-1,1.5,0.01166671152138234,2024-12-02,0.6190476190476191,-0.6306011786813306
2024-12-09,-1,1.5,0.011667493580935034,2024-12-09,0.6190476190476191,-0.4197693445413078
